,,"  M.V ""AL BAZM II""    O F F I C I A L     R O B  2025",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,E v e n t,D a t e,,Time,H R S,H F O,S t a t u s,P l a c e,Slip,Total Distance (NM),Avg Speed (KNOTS),Total FOC (MT),FOC ME/GE (MT),Engine   ,RPM
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,FAOP,1-Jan-2024,,8.30,,53.1,,Out to Sea (  KP  → RWS ),,,,,,,
,,EOSP,1-Jan-2024,,19.36,11.1,44.8,,Arrival .RWS,18.5,125.0,11.3,8.3,7.3 / 1 ,53%,
,,,,,,,,,,,,,,,,
,,FAOP,2-Jan-2024,,12.42,,39.3,,Out to Sea ( RWS → KP CSC  ),,,,,,,
,,EOSP,2-Jan-2024,,23.54,11.2,31.2,,Arrival.KHL .KP CSC,19.1,126.0,11.3,8.1,7.1/1.0,48%,
,,,,,,,,,,,,,,,,
,,FAOP,3-Jan-2024,,16.18,,632.9,,Out to Sea (  KP CSC → RWS ),,,,,,,
,,EOSP,4-Jan-2024,,3.42,11.4,624.5,,Arrival  .RWS,19.8,128.0,11.2,8.4,7.4 / 1 ,52%,
,,,,,,,,,,,,,,,,
,,FAOP,5-Jan-2024,,5.18,,618.4,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,5-Jan-2024,,16.12,10.9,610.1,,Arrival.KHL .KP ,18.1,129.0,11.8,8.3,7.3 / 1  ,53%,
,,,,,,,,,,,,,,,,
,,FAOP,6-Jan-2024,,13.00,,605.6,,Out to Sea (  KP  → RWS ),,,,,,,
,,EOSP,7-Jan-2024,,0.00,11.0,597.5,,Arrival .RWS,15.7,128.0,11.6,8.1,7.1/1.0 ,50%,
,,,,,,,,,,,,,,,,
,,FAOP,8-Jan-2024,,13.12,,588.9,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,8-Jan-2024,,23.48,10.6,580.3,,Arrival.KHL .KP ,18.8,124.0,11.7,8.6,7.6 / 1  ,55%,
,,,,,,,,,,,,,,,,
,,FAOP,9-Jan-2024,,13.42,,577.2,,Out to Sea (  KP  → RWS ),,,,,,,
,,EOSP,10-Jan-2024,,0.24,10.7,568.4,,Arrival .RWS,14.6,130.0,12.1,8.8,7.8 / 1  ,59%,
,,,,,,,,,,,,,,,,
,,FAOP,10-Jan-2024,,21.42,,562.1,,Out to Sea ( RWS → KP  ),,,,,,,
,,EOSP,11-Jan-2024,,8.30,10.8,554.0,,Arrival.KHL .KP ,20.0,119.0,11.0,8.1,7 / 1.1  ,48%,
,,,,,,,,,,,,,,,,
