Event;Date;Time;Total trip time;Place;Slip;Total Distance;Avg speed;FOC;LOAD ;RPM
FAOP;23/1/2024;18:30;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;24/1/2024;6:54;12.4;Arrival. khalifa ;20.6;130;10.5;6.4 Ê;42%;124
;;;;;;;; Ê;;
FAOP;24/1/2024;20:30;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;25/1/2024;7:18;10.8;Arrival .ruwais;14.3;123;11.4;5.9 Ê;45%;125
;;;;;;;; Ê;;
FAOP;26/1/2024;5:36;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;26/1/2024;18:00;12.4;Arrival. khalifa ;22.5;127;10.2;6.4 Ê;42%;125
;;;;;;;; Ê;;
FAOP;27/1/2024;11:18;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;27/1/2024;22:30;11.2;Arrival .ruwais;16.7;123;11;5.8 Ê;45%;124
;;;;;;;; Ê;;
FAOP;29/1/2024;4:30;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;29/1/2024;16:54;12.4;Arrival. khalifa ;23.4;127;10.2;6.7 Ê;58%;127
;;;;;;;; Ê;;
FAOP;30/1/2024;6:18;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;30/1/2024;18:00;11.7;Arrival .ruwais;19.8;123;10.5;6.2 Ê;44%;124
;;;;;;;; Ê;;
FAOP;31/1/2024;14:12;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;1/2/2024;2:00;11.8;Arrival. khalifa ;21;123;10.4;6.1 Ê;42%;124
;;;;;;;; Ê;;
FAOP;1/2/2024;17:24;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
EOSP;2/2/2024;4:18;10.9;Arrival .ruwais;16.4;120;11;5.9 Ê;44%;124
;;;;;;;; Ê;;
FAOP;4/2/2024;18:48;;Out to Sea ( ruwais _ khalifa  );;;; Ê;;
EOSP;5/2/2024;7:12;12.4;Arrival. khalifa ;20.9;130;10.5;6.4 Ê;42%;125
;;;;;;;; Ê;;
FAOP;5/2/2024;23:48;;Out to Sea (  khalifa  _ ruwais );;;; Ê;;
