date,trip_hours,place,route,slip,distance_nm,speed_knots,fuel_mt,me_foc_mt,ge_foc_mt,engine_load_pct,rpm
2024-01-01,11.1,Arrival .RWS,Khalifa_to_Ruwais,18.5,125.0,11.3,8.3,7.3,1.0,53.0,125.16693333333335
2024-01-02,11.2,Arrival.KHL .KP CSC,Ruwais_to_Khalifa,19.1,126.0,11.3,8.1,7.1,1.0,48.0,125.16693333333335
2024-01-04,11.4,Arrival  .RWS,Khalifa_to_Ruwais,19.8,128.0,11.2,8.4,7.4,1.0,52.0,125.16693333333335
2024-01-05,10.9,Arrival.KHL .KP ,Ruwais_to_Khalifa,18.1,129.0,11.8,8.3,7.3,1.0,53.0,125.16693333333335
2024-01-07,11.0,Arrival .RWS,Khalifa_to_Ruwais,15.7,128.0,11.6,8.1,7.1,1.0,50.0,125.16693333333335
2024-01-08,10.6,Arrival.KHL .KP ,Ruwais_to_Khalifa,18.8,124.0,11.7,8.6,7.6,1.0,55.0,125.16693333333335
2024-01-10,10.7,Arrival .RWS,Khalifa_to_Ruwais,14.6,130.0,12.1,8.8,7.8,1.0,59.0,125.16693333333335
2024-01-11,10.8,Arrival.KHL .KP ,Ruwais_to_Khalifa,20.0,119.0,11.0,8.1,7.0,1.1,48.0,125.16693333333335
2024-01-12,10.4,Arrival .RWS,Khalifa_to_Ruwais,17.6,118.2,11.4,6.9,6.0,0.9,47.0,125.16693333333335
2024-01-14,11.0,Arrival.KHL .KP ,Ruwais_to_Khalifa,20.5,117.0,10.6,6.9,5.9,1.0,43.0,125.16693333333335
2024-01-15,10.5,Arrival .RWS,Khalifa_to_Ruwais,12.6,121.0,11.5,6.6,5.6,1.0,44.0,125.16693333333335
2024-01-16,12.3,Arrival.KHL .KP ,Ruwais_to_Khalifa,21.1,130.0,10.6,7.8,6.7,1.1,44.0,125.16693333333335
2024-01-17,12.6,Arrival .RWS,Khalifa_to_Ruwais,22.8,125.0,9.9,8.9,7.8,1.1,66.0,125.16693333333335
2024-01-20,12.4,Arrival.KHL .KP ,Ruwais_to_Khalifa,22.1,127.0,10.2,7.4,6.3,1.1,43.0,125.16693333333335
2024-01-21,11.5,Arrival .RWS,Khalifa_to_Ruwais,17.6,125.0,10.9,7.5,6.4,1.1,44.0,125.16693333333335
2024-01-24,12.4,Arrival.KHL .KP ,Ruwais_to_Khalifa,20.6,130.0,10.5,7.5,6.4,1.1,42.0,124.4
2024-01-25,10.8,Arrival .RWS,Khalifa_to_Ruwais,14.3,123.0,11.4,6.9,5.9,1.0,45.0,125.2
2024-01-26,12.4,Arrival.KHL .KP ,Ruwais_to_Khalifa,22.5,127.0,10.2,7.5,6.4,1.1,42.0,124.5
2024-01-27,11.2,Arrival .RWS,Khalifa_to_Ruwais,16.7,123.0,11.0,6.8,5.8,1.0,45.0,124.2
2024-01-29,12.4,Arrival.KHL .KP ,Ruwais_to_Khalifa,23.4,127.0,10.2,7.7,6.7,1.0,58.0,126.6
2024-01-30,11.7,Arrival .RWS,Khalifa_to_Ruwais,19.8,123.0,10.5,7.2,6.2,1.0,44.0,124.0
2024-02-01,11.8,Arrival.KHL .KP ,Ruwais_to_Khalifa,21.0,123.0,10.4,7.1,6.1,1.0,42.0,124.0
2024-02-02,10.9,Arrival .RWS,Khalifa_to_Ruwais,16.4,120.0,11.0,6.9,5.9,1.0,44.0,124.0
2024-02-05,12.4,Arrival.KHL .KP ,Ruwais_to_Khalifa,20.9,130.0,10.5,7.5,6.4,1.1,42.0,125.0
2024-02-06,12.5,Arrival .RWS,Khalifa_to_Ruwais,21.8,128.0,10.2,7.6,6.6,1.0,44.0,123.3
2024-02-11,13.0,Arrival .RWS,Khalifa_to_Ruwais,14.9,146.0,11.2,7.7,6.5,1.1,45.0,124.0
2024-02-16,13.0,Arrival.KHL .KP ,Ruwais_to_Khalifa,24.0,130.0,10.0,7.8,6.7,1.1,48.0,124.0
2024-02-17,11.2,Arrival .RWS,Khalifa_to_Ruwais,16.7,123.0,11.0,6.9,5.9,1.0,42.0,124.2
2024-02-20,13.3,Arrival.KHL .KP ,Ruwais_to_Khalifa,24.6,132.0,9.9,7.8,6.6,1.2,44.0,124.0
2024-02-21,13.3,Arrival .RWS,Khalifa_to_Ruwais,25.8,130.0,9.8,8.2,7.1,1.1,46.0,124.2
2024-02-23,12.3,Arrival.KHL .KP ,Ruwais_to_Khalifa,25.2,123.0,10.0,7.5,6.5,1.0,44.0,126.0
2024-02-24,11.8,Arrival .RWS,Khalifa_to_Ruwais,20.6,123.0,10.4,7.1,6.1,1.0,66.0,123.8
2024-02-25,11.6,Arrival.KHL .KP ,Ruwais_to_Khalifa,25.0,130.0,11.2,9.3,8.4,0.9,48.0,141.8
2024-02-26,11.1,Arrival .RWS,Khalifa_to_Ruwais,23.0,127.0,11.4,9.2,8.2,1.0,64.0,140.0
2024-02-28,10.7,Arrival.KHL .KP ,Ruwais_to_Khalifa,21.3,128.0,12.0,8.7,7.8,0.9,66.0,143.2
2024-03-01,14.8,Arrival .RWS,Khalifa_to_Ruwais,31.9,144.0,9.7,11.6,10.3,1.3,43.0,134.6
2024-03-03,12.3,Arrival.KHL .KP ,Ruwais_to_Khalifa,24.7,123.0,10.0,7.4,6.4,1.0,44.0,125.2
2024-03-04,10.1,Arrival .RWS,Khalifa_to_Ruwais,19.0,123.0,12.2,8.3,7.4,0.9,63.0,141.6
2024-03-05,10.2,Arrival.KHL .KP ,Ruwais_to_Khalifa,22.3,120.0,11.8,8.7,7.7,0.9,67.0,142.7
2024-03-07,10.7,Arrival .RWS,Khalifa_to_Ruwais,20.5,126.0,11.8,8.7,7.8,0.9,63.0,139.5
2024-03-08,12.1,Arrival.KHL .KP ,Ruwais_to_Khalifa,28.6,123.0,10.2,9.0,8.0,1.0,67.0,134.1
2024-03-09,10.3,Arrival .RWS,Khalifa_to_Ruwais,19.3,124.0,12.0,9.0,8.1,0.9,64.0,140.6
