,,,,,,,,,,,,,,,
,,,Event,Date,,Time,Total trip time,S t a t u s,Place,Slip,Total Distance,Avg speed,FOC,LOAD ,RPM
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,  ,,
,,,FAOP,01/23/2024,,06:30:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,01/24/2024,,06:54:00 AM,23.1944444444444,,Arrival.KHL .KP ,20.6,130,5.60479041916168,6.4  ,42%,124.4
,,,,,,,,,,,,,  ,,
,,,FAOP,01/24/2024,,08:30:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,01/25/2024,,07:18:00 AM,23.0833333333333,,Arrival .RWS,14.3,123,5.32851985559567,5.9  ,45%,125.2
,,,,,,,,,,,,,  ,,
,,,FAOP,01/26/2024,,05:36:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,01/26/2024,,06:00:00 PM,0.861111111111111,,Arrival.KHL .KP ,22.5,127,147.483870967742,6.4  ,42%,124.5
,,,,,,,,,,,,,  ,,
,,,FAOP,01/27/2024,,11:18:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,01/27/2024,,10:30:00 PM,0.777777777777778,,Arrival .RWS,16.7,123,158.142857142857,5.8  ,45%,124.2
,,,,,,,,,,,,,  ,,
,,,FAOP,01/29/2024,,04:30:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,01/29/2024,,04:54:00 PM,0.861111111111111,,Arrival.KHL .KP ,23.4,127,147.483870967742,6.7  ,58%,126.6
,,,,,,,,,,,,,  ,,
,,,FAOP,01/30/2024,,06:18:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,01/30/2024,,06:00:00 PM,0.8125,,Arrival .RWS,19.8,123,151.384615384615,6.2  ,44%,124
,,,,,,,,,,,,,  ,,
,,,FAOP,01/31/2024,,02:12:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,02/01/2024,,02:00:00 AM,23.1527777777778,,Arrival.KHL .KP ,21,123,5.3125374925015,6.1  ,42%,124
,,,,,,,,,,,,,  ,,
,,,FAOP,02/01/2024,,05:24:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,02/02/2024,,04:18:00 AM,23.0902777777778,,Arrival .RWS,16.4,120,5.19699248120301,5.9  ,44%,124
,,,,,,,,,,,,,  ,,
,,,FAOP,02/04/2024,,06:48:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,02/05/2024,,07:12:00 AM,23.1944444444444,,Arrival.KHL .KP ,20.9,130,5.60479041916168,6.4  ,42%,125
,,HAND OVER,,,,,,,,,,,  ,,
,,,FAOP,02/05/2024,,11:48:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,02/06/2024,,12:18:00 PM,23.2013888888889,,Arrival .RWS,21.8,128,5.51691110445974,6.6  ,44%,123.3
,,,,,,,,,,,,,  ,,
,,,FAOP,02/15/2024,,01:42:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
