Date,Time,Event,Duration,Dist by observ.,Total               M.E. rev. ,M.E. mean RPM,M.E. BHP,Dist by engine,Slip,M/E consum.  MT,G/E consum.   MT,Comp.Blr     consum.    MT,F.O. Total consum. Per day   MT,FWG,REV counter,F.O. flowmeter,Mean pitch of propeller,FO serv.tank Temp,FO serv.tank V.C.F.,G/E F.O. Temp,G/E FO V.C.F,HS F.O. Density,ME counter corr.factor,G/E counter corr.factor,AB FO Temp,C.BLR Temp,AB F.O. V.C.F,C.BLR V.C.F,AB counter corr.factor,D.O. density,D.O. temp,D.O. consum. M3,ME cyl oil counter corr.factor,"ME  LO Consump,           L/D","G/E  LO     Consump,      L/D",Engine room    Temp,ME Scav.air Temp,HSFO      LCV,SFOC (ISO),Comp.   BLR   corr.factor,D.O.     VCF,GE flowmeter,AB(1) flowmeter,CBLR flowmeter,Cyl oil flowmeter,LSFO     LCV,LSFO  DENSITY,LSHFO IN USE,LSCO IN USE,BLR on MGO,ME on MGO,ME  Dencity Exchange,Serv.tank  temp.    exchange,AE temp.         exchange,BLR temp   exchange,Other   Lubs,D.O. Blr+ME+AE consum MT,UFS,Day Hours          retard/advan,GE on MGO,AE density  exchange,AB dencity exchenge,Comp.Blr  on DO,CBLR  exchange   density,CBLR     exchange    Temp,Arrival,Cyl.oil  by Counter
12/31/1899,2,01/02/1900,4,5,7,8,9,10,11,,,,,02/26/1900,02/27/1900,02/28/1900,03/01/1900,03/02/1900,03/03/1900,03/04/1900,03/05/1900,03/06/1900,03/07/1900,03/08/1900,03/09/1900,03/10/1900,03/11/1900,03/12/1900,03/13/1900,03/14/1900,03/15/1900,03/16/1900,03/17/1900,03/18/1900,03/19/1900,03/20/1900,03/21/1900,03/22/1900,03/23/1900,03/24/1900,03/25/1900,03/26/1900,03/27/1900,03/28/1900,03/29/1900,90,03/31/1900,92,04/02/1900,94,04/04/1900,96,04/06/1900,98,04/08/1900,100,04/10/1900,102,04/12/1900,104,04/14/1900,04/15/1900,04/16/1900,04/17/1900,04/18/1900,04/19/1900,04/20/1900
06/29/2024,17.36,BoSP,1.9,0,9680,0,,17.1,0,0.8,0.2,0,1,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
06/30/2024,4,EoSP,10.4,110.6,75530,121,,133.6,17.2,5.9,1.1,0,7,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
06/30/2024,8.24,FWE,4.4,0,21670,0,,38.3,0,1.5,0.5,0.1,2.1,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
06/30/2024,12,PORT,3.6,0,0,0,,0,0,0,0.4,0.2,0.6,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/01/2024,1.48,PORT,13.8,0,0,0,,0,0,0,1.4,0.7,2.1,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/01/2024,4.36,BoSP,2.8,0,19120,0,,33.8,0,1.8,0.3,0,2.1,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/01/2024,12,SEA,7.4,78.5,53550,120.6,,94.7,17.1,4.1,0.9,0,5,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/01/2024,15.3,EoSP,3.5,36.1,25280,120.4,,44.7,19.2,1.9,0.4,0,2.3,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/01/2024,17.3,FWE,2,0,9400,0,,16.6,0,0.7,0.2,0.1,1,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/02/2024,11.12,PORT,17.7,0,0,0,,0,0,0,1.8,0.8,2.6,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/02/2024,12,WAY,0.800000000000001,0,1540,0,,2.7,0,0,0.1,0,0.1,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/02/2024,13.36,BoSP,1.6,0,8650,0,,15.3,0,0.5,0.2,0.1,0.8,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/03/2024,1.3,EoSP,11.9,113.2,86330,120.9,,152.7,25.9,6.6,1.3,0,7.9,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/03/2024,5.24,FWE,3.9,0,21930,0,,38.8,0,1.6,0.4,0,2,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/03/2024,12,PORT,6.6,0,0,0,,0,0,0,0.6,0.3,0.9,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/03/2024,22.24,PORT,10.4,0,0,0,,0,0,0,1.1,0.6,1.7,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/04/2024,1.36,BoSP,3.2,0,19190,0,,33.9,0,1.6,0.4,0,2,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/04/2024,10,EoSP,8.4,107.3,72750,144.3,,128.7,16.6,7.5,0.9,0,8.4,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/04/2024,12,WAY,2,0,16620,0,,29.4,0,1.7,0.2,0,1.9,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/04/2024,13.06,FWE,1.1,0,4840,0,,8.6,0,0.4,0.1,0.1,0.6,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/05/2024,7.24,PORT,18.3,0,0,0,,0,0,0,1.9,0.8,2.7,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/05/2024,9.06,BoSP,1.7,0,9550,0,,16.9,0,0.8,0.2,0,1,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/05/2024,12,SEA,2.9,27.4,21010,120.7,,37.2,26.3,1.6,0.3,0,1.9,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/05/2024,21,EoSP,9,90.4,65520,121.3,,115.9,22,5.2,1,0,6.2,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/06/2024,1.18,FWE,4.3,0,19670,0,,34.8,0,1.2,0.5,0.1,1.8,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/06/2024,12,PORT,10.7,0,0,0,,0,0,0,1.3,0.5,1.8,4,8,7,3.276,35,0.9851,35,0.9851,,1.35,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/06/2024,15.06,PORT,3.1,0,0,0,,0,0,0,0.1,0.2,0.3,4,8,7,3.276,35,0.9851,35,0.9851,,1.25,1,35,35,,0.9851,1,1,25,0.1,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/06/2024,19.36,BoSP,4.5,0,17670,0,,31.3,0,0.9,0.5,0.1,1.5,4,8,7,3.276,35,0.9851,35,0.9851,,1.2,1,35,35,,0.9851,1,1,25,0.2,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/07/2024,7.3,EoSP,11.9,121.5,86380,121,,152.8,20.5,5.9,1.3,0,7.2,4,8,7,3.276,35,0.9851,35,0.9851,,1.2,1,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,1.1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/07/2024,10.42,FWE,3.2,0,10320,0,,18.3,0,0.4,0.4,0,0.8,4,8,7,3.276,35,0.9851,35,0.9851,,1.1,1,35,35,,0.9851,1,1,25,0.1,1,60,10,42,44,,,1,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/07/2024,12,PORT,1.3,0,0,0,,0,0,0,0.1,0.1,0.2,4,8,7,3.276,35,0.9851,35,0.9851,,1.1,1,35,35,,0.9851,0.9,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/08/2024,4.12,PORT,16.2,0,0,0,,0,0,0,1.6,0.6,2.2,4,8,7,3.276,35,0.9851,35,0.9851,,1.1,1,35,35,,0.9851,0.9,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/08/2024,6.36,BoSP,2.4,0,11440,0,,20.2,0,0.7,0.3,0,1,4,8,7,3.276,35,0.9851,35,0.9851,,1,1,35,35,,0.9851,0.9,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/08/2024,12,SEA,5.4,74.2,51270,158.2,,90.7,18.2,4.2,0.6,0,4.8,4,8,7,3.276,35,0.9851,35,0.9851,,1,1,35,35,,0.9851,0.9,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/08/2024,14.42,EoSP,2.7,30.8,25510,157.5,,45.1,31.7,2.2,0.3,0,2.5,4,8,7,3.276,35,0.9851,35,0.9851,,1,1,35,35,,0.9851,0.9,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/08/2024,17.3,FWE,2.8,0,17130,0,,30.3,0,1,0.3,0,1.3,4,8,7,3.276,35,0.9851,35,0.9851,,1,1,35,35,,0.9851,0.9,1,25,0.1,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/09/2024,11.48,PORT,18.3,0,0,0,,0,0,0,1.9,0.8,2.7,4,8,7,3.276,35,0.9851,35,0.9851,,1,1,35,35,,0.9851,0.9,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/09/2024,12,WAY,0.199999999999999,0,0,0,,0,0,0,0,0,0,4,8,7,3.276,35,0.9851,35,0.9851,,1,0.9,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/09/2024,16.06,BoSP,4.1,0,24970,0,,44.2,0,1.2,0.5,0,1.7,4,8,7,3.276,35,0.9851,35,0.9851,,1,0.9,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/10/2024,4,EoSP,11.9,114.3,86740,121.5,,153.4,25.5,5,1.2,0,6.2,4,8,7,3.276,35,0.9851,35,0.9851,,1,0.9,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/10/2024,8.12,FWE,4.2,0,18110,0,,32,0,0.7,0.4,0,1.1,4,8,7,3.276,35,0.9851,35,0.9851,,1,0.9,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/10/2024,12,PORT,3.8,0,0,0,,0,0,0,0.3,0.2,0.5,4,8,7,3.276,35,0.9851,35,0.9851,,1,0.9,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,1,1
07/10/2024,20.18,PORT,8.3,0,0,0,,0,0,0,0.8,0.3,1.1,4,8,7,3.276,35,0.9851,35,0.9851,,1,0.9,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
07/10/2024,22.06,BoSP,1.8,0,8580,0,,15.2,0,0.3,0.2,0,0.5,4,8,7,3.276,35,0.9851,35,0.9851,,1,0.9,35,35,,0.9851,1,1,25,0,1,60,10,42,44,,,0.9,0.9933,7,7,7,0,41.8,0.926,1,1,0,0,,35,35,,2000,0,1,0,0,,,0,,35,0,1
