datetime,wind_speed,wind_dir,source
2024-06-01 00:00:00,14.2,333,openmeteo
2024-06-01 01:00:00,15.1,3,openmeteo
2024-06-01 02:00:00,10.8,4,openmeteo
2024-06-01 03:00:00,8.8,78,openmeteo
2024-06-01 04:00:00,11.5,94,openmeteo
2024-06-01 05:00:00,10.8,92,openmeteo
2024-06-01 06:00:00,7.0,102,openmeteo
2024-06-01 07:00:00,4.1,128,openmeteo
2024-06-01 08:00:00,1.8,127,openmeteo
2024-06-01 09:00:00,0.8,333,openmeteo
2024-06-01 10:00:00,3.7,331,openmeteo
2024-06-01 11:00:00,6.0,295,openmeteo
2024-06-01 12:00:00,7.9,300,openmeteo
2024-06-01 13:00:00,14.7,301,openmeteo
2024-06-01 14:00:00,16.3,305,openmeteo
2024-06-01 15:00:00,13.5,299,openmeteo
2024-06-01 16:00:00,13.0,309,openmeteo
2024-06-01 17:00:00,10.6,298,openmeteo
2024-06-01 18:00:00,12.2,298,openmeteo
2024-06-01 19:00:00,14.2,297,openmeteo
2024-06-01 20:00:00,16.3,301,openmeteo
2024-06-01 21:00:00,17.4,300,openmeteo
2024-06-01 22:00:00,20.1,303,openmeteo
2024-06-01 23:00:00,21.6,303,openmeteo
2024-06-02 00:00:00,19.8,299,openmeteo
2024-06-02 01:00:00,17.4,304,openmeteo
2024-06-02 02:00:00,18.7,298,openmeteo
2024-06-02 03:00:00,17.4,300,openmeteo
2024-06-02 04:00:00,18.2,300,openmeteo
2024-06-02 05:00:00,20.8,300,openmeteo
2024-06-02 06:00:00,22.1,294,openmeteo
2024-06-02 07:00:00,23.4,295,openmeteo
2024-06-02 08:00:00,23.0,297,openmeteo
2024-06-02 09:00:00,23.4,301,openmeteo
2024-06-02 10:00:00,24.8,306,openmeteo
2024-06-02 11:00:00,25.4,309,openmeteo
2024-06-02 12:00:00,27.5,312,openmeteo
2024-06-02 13:00:00,25.0,314,openmeteo
2024-06-02 14:00:00,24.2,313,openmeteo
